L10 Median,FG T,Minutes Diff,Rest Days,Points,Line,OU Result
10.5,0.39223227027636753,-1.0366421106976316,2,8,9.5,0
13.0,-0.5735393346764045,-1.0354027349439499,2,11,8.5,1
14.0,1.757550298241122,2.5433737436719754,2,8,21.5,0
10.5,0.229415733870562,1.1396760417223413,2,7,9.5,0
34.0,-0.5743665268941898,-1.0714285714285714,2,44,33.5,1
18.5,0.0,-0.5062592711372347,2,18,14.5,1
9.5,-1.217561555056202,-0.6494175892662285,2,17,9.5,1
19.0,-1.2493900951088488,-1.1626367179523585,2,16,15.5,1
12.5,0.49656353316142127,0.8581163303210316,2,7,8.5,0
18.0,-2.0124611797498115,-1.165371265166766,2,22,19.5,1
4.5,0.0,0.38851434494290604,2,4,6.5,0
9.0,1.2999999999999998,3.0735042819928817,2,7,10.5,0
17.5,0.5955500003825582,-1.0323708024175304,2,13,20.5,0
13.0,-0.015190798378325796,-0.25602353926291066,2,18,13.5,1
34.5,0.7607257743127308,0.34174589132466177,2,18,29.5,0
9.5,-0.5393193716300059,-0.5070674883311093,2,9,8.5,1
22.0,-0.13794798061809171,-0.7908234046644852,2,16,21.5,0
18.5,0.714904685729097,2.5942414104271827,2,23,18.5,1
6.0,-2.1081851067789192,-0.8803984562504109,2,16,7.5,1
20.0,-1.4381849910133495,0.041699256946712386,2,6,15.5,0
11.5,0.3352119050341081,0.928197518263969,2,7,10.5,0
27.0,-0.04087595596566424,-0.2962962962962953,2,40,29.5,1
11.0,-0.6666666666666665,-0.6776309271789388,2,18,10.5,1
7.0,-0.40824829046386346,0.49414359250244555,2,22,8.5,1
14.0,0.08466055884843995,0.24306324464616955,2,11,21.5,0
16.0,-0.9524384615716925,-1.0481650881044848,2,18,13.5,1
16.0,2.0641873861685607,1.2364521575478948,2,33,16.5,1
25.0,0.47455475311913253,-0.46501229925525683,2,11,24.5,0
23.0,0.331269329999969,-0.2626262626262617,2,25,29.5,0
10.0,0.9397393577024561,0.40436040775570303,2,13,13.5,0
7.0,0.34639248887842905,1.0169053811519433,2,12,12.5,0
7.0,1.148853915807106,0.7114582486036501,2,11,8.5,1
6.0,0.45643546458763845,0.8238157053517379,2,2,7.5,0
14.5,-0.03686048903872481,1.0886621079036356,2,13,14.5,0
8.0,5.715476066494083,2.2974661075767617,2,9,9.5,0
7.5,-1.7888543819998315,0.44392387174919457,2,11,6.5,1
9.5,-0.20412414523193173,0.8767080593199741,2,19,8.5,1
19.5,-1.2437342963832754,0.800094691365661,2,12,19.5,0
21.5,-0.6998542122237653,0.45883146774112193,2,12,21.5,0
9.5,-0.13363062095621173,0.0,2,12,10.5,1
28.5,-1.4439897447623102,-0.9805806756909203,2,31,27.5,1
12.5,1.1476380835140094,0.17834409375160543,2,10,15.5,0
30.0,-0.02001601922563618,1.3748678583438385,2,30,31.5,0
6.0,0.06475239082381738,0.01182955734979393,2,5,6.5,0
13.5,0.5715476066494084,-1.7284978790940977,2,12,14.5,0
33.0,0.17440828807877912,0.39148014634313427,2,27,29.5,0
5.0,0.9805806756909201,1.09167420841549,2,2,6.5,0
9.0,-1.2222222222222223,-0.611392655769755,2,21,9.5,1
21.0,-0.9970544855015822,-0.9931270663228381,2,10,19.5,0
19.0,0.3202563076101746,2.137919850106156,2,10,20.5,0
6.0,-0.23249527748763876,-0.41816669879145557,2,9,7.5,1
20.0,-2.459674775249769,-0.9655351182200118,2,8,13.5,0
12.0,-0.8846517369293829,0.5625000000000036,4,13,10.5,1
11.0,0.7137378387084149,0.9750761808025527,2,10,9.5,1
29.5,0.053916386601719025,-0.4999999999999953,2,22,29.5,0
12.5,-0.7187500000000001,-0.7538560665486256,2,8,11.5,0
10.0,-0.7774872491997803,-0.943698634701591,3,8,9.5,0
12.0,-0.9999999999999999,-2.470663633876295,3,15,9.5,1
9.0,1.1515151515151514,1.1874999999999991,3,17,17.5,0
8.0,-0.884651736929383,1.174989472711579,3,4,8.5,0
39.0,-0.1899616454037248,-1.2618583523428488,3,31,34.5,0
18.0,0.17400369051536843,-0.7299036847084756,3,5,15.5,0
10.0,-0.30662578595373885,0.33414472117597377,3,20,12.5,1
17.0,-0.6552139638287995,-0.6773214717693145,3,17,17.5,0
12.0,-0.2984272742917428,0.24960235381223014,3,11,9.5,1
19.0,-2.818181818181818,-1.2656136461192016,3,25,21.5,1
4.0,0.5345224838248487,0.35576404879642726,3,12,4.5,1
8.0,0.5877991702694451,1.9090909090909094,3,15,10.5,1
17.0,0.47140452079103173,-0.7444357674125057,3,15,20.5,0
14.0,0.06552975829106517,1.152777777777776,3,21,14.5,1
8.0,5.545454545454548,2.56284642891099,3,10,9.5,1
8.0,-1.8295101634089193,0.28300739072475967,3,12,8.5,1
10.0,0.24242424242424251,0.1566618976100595,3,22,9.5,1
6.0,0.21882931729659133,1.407894652499868,3,11,6.5,1
19.0,-3.325917677132393,0.8753172691863718,3,22,17.5,1
9.0,-0.9428090415820631,-5.720775535473553,3,2,6.5,0
21.0,-1.5597920415907585,-0.1363636363636367,3,22,20.5,1
11.0,-0.3563483225498991,0.02491450309172978,3,11,11.5,0
29.0,-0.8184860089266784,-2.5873180855923166,3,29,28.5,1
11.0,1.2403765145050403,0.28755406187583477,3,9,14.5,0
30.0,0.577718829884161,1.3772237400214096,3,36,31.5,1
9.0,-0.3726779962499646,-0.8650570818097925,2,19,9.5,1
13.0,-0.5544213568538577,-1.0510937064781525,2,20,9.5,1
13.0,0.7216878364870323,0.83917704150905,2,39,17.5,1
7.5,-1.6955824957813168,0.9191730946663115,2,0,7.5,0
