Date,Player ID,L10 Median,Kalman,DARKO,Relative Performance,Home,Recent T,Spread,Points
2023-07-30,1629484,6.0,7.091040894166035,6.626067238170531,9.173913043478265,0,0.9566525278851485,-19.0,17.0
2023-07-25,1629484,6.0,5.3768262280840595,5.402182791837467,-11.318181818181813,0,0.7173744850830077,-13.0,19.0
2023-07-23,1629484,5.5,4.5232639448622765,4.709662595311886,-7.666666666666671,0,0.6588502115702579,-15.0,12.0
2023-07-20,1629484,5.5,3.3486343250707495,3.910506284544386,3.5,1,-0.2112941785042473,18.0,12.0
2023-07-18,1629484,6.0,3.7316535610737978,4.370636726793834,-4.736842105263165,1,-0.36135431576380905,6.0,0.0
2023-07-11,1629484,6.0,3.8057328720771224,4.526573373958484,-5.0,0,-0.19853361948548684,-26.0,3.0
2023-07-09,1629484,5.5,3.5080847508749247,4.223164615344927,1.058823529411768,1,0.19165749911996258,6.0,7.0
2023-07-07,1629484,4.5,2.9198812094958617,3.71879718295492,-13.75,0,0.1773178176085693,-11.0,8.0
2023-07-05,1629484,4.5,3.2344554777816588,4.265918570596299,18.400000000000006,0,0.6324555320336759,-4.0,0.0
2023-07-01,1629484,5.0,3.4515707207346784,4.9357020598801515,-0.6428571428571388,1,1.6045190738044803,-10.0,0.0
2023-06-24,1629484,5.0,3.1478711509039194,4.9255550076490655,-3.4545454545454533,0,0.9155744421688291,-23.0,5.0
2023-09-10,204324,7.5,9.916739295031258,8.787613930930016,12.410256410256409,0,1.0296385041206353,2.0,7.0
2023-09-07,204324,6.0,9.65402821972827,8.642254535106506,10.684210526315795,0,0.34405341611473395,-7.0,11.0
2023-09-05,204324,5.5,7.568638761479786,8.012004802197952,-2.378378378378372,0,-0.8352380145435869,-14.0,18.0
2023-09-03,204324,5.5,6.4465288933775335,7.736207743509839,-6.555555555555557,1,-1.393756121754586,8.0,12.0
2023-08-31,204324,5.5,6.551641297584873,7.857085124543939,-18.057142857142864,1,-1.6025910309506295,-11.0,6.0
2023-08-29,204324,5.5,5.905364662521892,7.775188751076126,-4.17647058823529,1,-2.405459603483592,-1.0,9.0
2023-08-27,204324,6.0,6.381489141045214,8.054190612380385,-11.515151515151516,0,-2.213432948221655,-15.0,4.0
2023-08-25,204324,6.0,6.731801676672558,8.287531302735756,3.59375,0,-2.3639419438628457,5.0,5.0
2023-08-23,204324,6.0,6.0952447097029,8.231114543089596,11.967741935483872,1,-1.2786204118271036,29.0,9.0
2023-08-19,204324,6.0,6.635892914900617,8.564494379954565,-1.0666666666666629,0,-1.1954963923759536,6.0,4.0
2023-08-12,204324,6.0,8.464459464349602,9.193334340438698,6.137931034482762,1,0.25259035774951943,11.0,0.0
2023-08-08,204324,6.0,9.14947615898831,9.425310097428238,8.42857142857143,0,0.21659677230639357,7.0,6.0
2023-08-06,204324,6.0,10.61796322996646,9.83220589873664,12.888888888888886,0,0.15663746058917205,8.0,4.0
2023-08-04,204324,6.0,9.657078256990463,9.508699474554199,-1.1538461538461604,0,0.40332581001740303,-2.0,14.0
2023-08-01,204324,6.0,10.638001644103262,9.785232799414269,-9.519999999999996,1,0.304950764488457,-7.0,6.0
2023-07-30,204324,6.0,7.83271166476168,8.866842494724786,0.5,1,-0.4814152142892668,-8.0,21.0
2023-07-27,204324,6.0,8.297711731385926,9.106258302205902,2.608695652173907,1,-0.8272300632511499,13.0,6.0
2023-07-25,204324,6.0,9.438137611379434,9.551517447750356,0.6363636363636402,1,-0.8452872339639768,1.0,4.0
2023-07-22,204324,6.0,7.315751068618951,8.796150828748821,5.904761904761898,0,-0.7219277718621969,-14.0,18.0
2023-07-20,204324,7.0,7.8352986342042295,9.152738041090908,-8.5,0,-0.3413203265898162,-3.0,5.0
2023-07-12,204324,8.5,8.27761115090053,9.426574376174726,-0.526315789473685,1,-0.3909791405794583,-19.0,6.0
2023-07-09,204324,10.5,10.405687105627111,10.265790482282272,-6.888888888888886,0,0.513835798387836,-6.0,0.0
2023-07-05,204324,10.5,11.758624739642174,10.736875910380853,0.1176470588235361,1,0.19083523165992275,-11.0,5.0
2023-07-02,204324,10.5,10.20156043695647,10.06908984493393,5.4375,0,-0.2324737315936758,-28.0,18.0
2023-06-30,204324,9.0,9.736158192986036,9.882074747270423,-0.5999999999999943,0,-0.46568330217386594,-8.0,12.0
2023-06-28,204324,9.0,10.688421282185729,10.280211209669162,-16.714285714285708,0,0.0,-17.0,6.0
2023-06-25,204324,8.5,9.205660354887149,9.562274000816862,14.307692307692307,1,0.45213928035082607,10.0,17.0
2023-06-23,204324,8.5,10.789926424385197,10.426950007538332,-2.9166666666666714,1,0.7845000304609913,2.0,2.0
2023-06-20,204324,8.5,11.264993092817596,10.59903242422849,-19.545454545454547,1,1.1951802146138826,-6.0,9.0
2023-06-18,204324,9.0,12.084649786230147,10.939480136039991,-7.200000000000003,1,0.9179145913036463,-9.0,8.0
2023-06-16,204324,9.0,11.502182596819218,10.499050285206811,-10.222222222222229,1,0.3947710169758613,-5.0,14.0
2023-06-14,204324,8.5,8.943335268633636,8.494235173122412,-3.625,0,0.09093560390698857,18.0,23.0
2023-09-10,203403,5.0,6.639912619530525,8.41127692689161,9.717948717948715,0,-1.7767521369360664,2.0,5.0
2023-09-08,203403,6.5,6.945542121986418,8.63787363111436,-5.421052631578945,1,-1.814786641545082,-5.0,5.0
2023-09-05,203403,6.5,7.95591353176523,9.080545100977837,20.108108108108112,0,-1.7447112474370512,23.0,2.0
2023-09-03,203403,6.5,7.938834844486583,9.154487573108309,-16.33333333333333,0,-1.73581254236759,-8.0,8.0
2023-08-31,203403,8.5,9.170395901844484,9.647003869096258,-5.48571428571428,0,-1.7657059925686618,-9.0,2.0
2023-08-29,203403,10.5,9.186497716591104,9.692808278850906,2.588235294117652,1,-0.8205136701362412,11.0,9.0
2023-08-26,203403,10.5,10.043027998223668,10.027818644216586,-2.4848484848484844,1,0.3993632963045312,16.0,5.0
2023-08-22,203403,10.5,11.112237662567459,10.382216336792887,-17.0,1,0.27847404920261615,-4.0,5.0
2023-08-20,203403,10.0,11.787344234977693,10.555192840568035,3.0967741935483843,1,0.97189206075393,-13.0,8.0
2023-08-18,203403,13.5,13.274023400841353,10.971631528951882,2.1666666666666714,0,1.7695025907728168,4.0,5.0
