L10 Median,Kalman,DARKO,Relative Performance,Home,Recent T,Spread,Points,Line,OU Result
20.5,23.30700641830827,23.244624655416445,18.181818181818187,0.0,-0.49676599505170355,7.0,29.0,22.5,1.0
14.0,14.970793475218974,14.715578113889146,8.777777777777771,1.0,0.6346887395316094,-7.0,12.0,13.5,0.0
15.0,10.635344204338729,12.85638536356776,8.777777777777771,1.0,-0.2161034920459895,-7.0,10.0,12.5,0.0
12.0,11.675062337946828,11.472122901352279,8.777777777777771,1.0,-0.7682458780277501,-7.0,20.0,11.5,1.0
14.5,15.08168497386437,14.61891923557499,-19.400000000000006,0.0,0.8252763664864524,-19.0,6.0,13.5,0.0
19.5,19.686182025633336,20.0035105882699,-19.400000000000006,0.0,0.0,-19.0,25.0,19.5,1.0
13.5,18.29490532584612,16.87019295249327,-2.700000000000003,1.0,-0.1298902810346848,19.0,32.0,15.5,1.0
20.0,20.795410290463884,21.440466206758796,-2.700000000000003,1.0,-0.5225562318831122,19.0,19.0,22.5,0.0
17.5,15.587640619099536,15.69375666421791,-19.400000000000006,0.0,1.4267144138514862,-19.0,7.0,15.5,0.0
29.0,29.630190734749846,28.39642408897487,7.125,0.0,0.991261119931893,-4.0,31.0,28.5,1.0
19.5,20.327749894518824,20.54123505558376,19.900000000000006,1.0,0.0,4.0,18.0,19.5,0.0
19.0,18.574962085546765,18.620960912039358,7.125,0.0,-0.5393377915345967,-4.0,24.0,20.5,1.0
11.5,11.582436720392614,12.292114939629174,9.299999999999997,1.0,-1.2572123893957248,17.0,7.0,12.5,0.0
14.0,12.537559806875564,13.596925056147242,9.299999999999997,1.0,0.6349750415282629,17.0,11.0,12.5,0.0
18.5,17.915750899452085,16.969158687560313,-6.0,0.0,0.3359304600209663,-17.0,10.0,19.5,0.0
19.5,19.098731917149692,18.53906433324595,9.299999999999997,1.0,-1.059842707171461,17.0,17.0,19.5,0.0
13.0,11.306843799655933,11.489595033599146,9.299999999999997,1.0,-1.107221319483563,17.0,22.0,11.5,1.0
17.0,13.40463640967198,15.50528458176954,-6.0,0.0,0.9146359206345126,-17.0,9.0,15.5,0.0
12.0,13.070176614265293,11.962705417239519,-6.0,0.0,0.58602319294616,-17.0,2.0,13.5,0.0
16.0,14.738621869987508,15.87215085529801,-8.666666666666671,1.0,0.12521758066945188,-19.0,9.0,15.5,0.0
14.0,13.418576744117534,13.075994881574164,12.333333333333329,0.0,-0.26508720481083997,19.0,18.0,13.5,1.0
15.0,15.25062704346844,14.342205012555938,-8.666666666666671,1.0,-1.5771893091751479,-19.0,16.0,14.5,1.0
12.0,14.520639333893559,12.864106891436299,-8.666666666666671,1.0,-0.07664782576190798,-19.0,12.0,12.5,0.0
29.0,29.805999464862364,28.75956435012498,0.3333333333333286,1.0,1.0883134794296172,-14.0,28.0,27.5,1.0
20.5,18.550675438005403,17.464789259374506,0.3333333333333286,1.0,-0.6459641618919277,-14.0,6.0,18.5,0.0
16.5,22.204990501541502,18.588191273091788,14.545454545454547,0.0,0.40678646541561386,14.0,16.0,16.5,0.0
19.0,19.508296909805626,19.371215840603956,0.3333333333333286,1.0,-0.40883815970729936,-14.0,13.0,18.5,0.0
20.0,20.449768322357155,21.163349860758867,14.545454545454547,0.0,-0.378460416924203,14.0,14.0,21.5,0.0
18.5,19.968767923492408,20.251006905035183,1.0909090909090935,0.0,0.24190033449568873,-16.0,16.0,19.5,0.0
14.0,13.987543830976266,13.597892210892354,13.36363636363636,1.0,0.0614531355285015,16.0,8.0,13.5,0.0
21.0,20.802892048559233,20.59541202956201,13.36363636363636,1.0,0.34544727921893487,16.0,21.0,21.5,0.0
18.0,17.686093276276136,16.650947274247194,13.36363636363636,1.0,-1.1951197629862977,16.0,26.0,17.5,1.0
17.5,14.049866510577521,14.66386413853524,13.36363636363636,1.0,0.6886126490975404,16.0,19.0,15.5,1.0
10.0,10.986313619056775,11.673272636375547,2.4545454545454533,0.0,-1.2767078524473183,8.0,20.0,11.5,1.0
12.5,11.910415765990267,11.669418653490903,-3.9000000000000057,1.0,-0.19648383679917408,-8.0,20.0,11.5,1.0
14.0,12.174695144708481,13.293249285409763,2.4545454545454533,0.0,0.33817766840395613,8.0,18.0,12.5,1.0
12.0,12.31045714399735,13.258988424056964,-3.9000000000000057,1.0,0.6782340320490743,-8.0,10.0,11.5,0.0
19.0,18.970399172663804,18.359091273759038,2.4545454545454533,0.0,-1.2852355396638633,8.0,16.0,18.5,0.0
13.0,13.452372944866816,12.71864680056467,2.4545454545454533,0.0,-0.11857166678082438,8.0,9.0,11.5,0.0
15.0,14.862582610047959,15.263336438998763,-3.9000000000000057,1.0,-0.5123030694754076,-8.0,10.0,14.5,0.0
10.5,9.592634729766438,10.74080971633435,13.461538461538467,1.0,-0.328733196860764,7.0,27.0,11.5,1.0
15.0,13.383671417012364,14.99358564609876,8.200000000000003,0.0,-0.26766806243216934,-7.0,12.0,15.5,0.0
14.0,15.408493075504042,16.256233658558113,13.461538461538467,1.0,-0.2890524304608837,7.0,7.0,17.5,0.0
9.5,9.157514367754494,10.075328897802038,8.200000000000003,0.0,-0.7175608803587867,-7.0,18.0,10.5,1.0
16.5,13.136808637675486,14.83981254891084,13.461538461538467,1.0,0.38084865197840717,7.0,24.0,15.5,1.0
